Fs_[Hz]   	1000,00000000
Tempo[s]  	Eixo_x 	Eixo_y 	Eixo_z 	Sinal_4
5,36300000	0,10321740	0,04560229	-0,04506784	0,00000000
5,36400000	-0,00516087	-0,06317145	0,06536082	0,00000000
5,36500000	0,10561781	0,00607169	0,02041747	0,00000000
5,36600000	-0,30653169	0,03552586	-0,05129268	0,00000000
5,36700000	0,07897332	0,08371186	-0,02875876	0,00000000
5,36800000	0,25588315	0,01459790	0,03846951	0,00000000
5,36900000	-0,26068395	-0,12776393	-0,00859028	0,00000000
5,37000000	-0,00420071	-0,11096988	0,01942150	0,00000000
5,37100000	0,26380448	0,10761107	-0,01742955	0,00000000
5,37200000	-0,08617453	0,10347715	0,04494334	0,00000000
5,37300000	0,02796472	0,06678863	0,03411212	0,00000000
5,37400000	0,05953004	-0,07893201	0,01020874	0,00000000
5,37500000	-0,12818161	-0,07273113	-0,07058968	0,00000000
5,37600000	0,02244378	-0,00051674	0,01606009	0,00000000
5,37700000	-0,03744631	-0,02002367	0,00933726	0,00000000
5,37800000	-0,00816138	-0,08138653	0,01655807	0,00000000
5,37900000	0,21591641	0,08319512	-0,08702326	0,00000000
5,38000000	-0,07549273	0,09017110	0,02103996	0,00000000
5,38100000	0,03948666	0,04909029	0,08005144	0,00000000
5,38200000	-0,05052852	-0,05270746	-0,00647383	0,00000000
5,38300000	-0,04788807	-0,02519107	-0,04954973	0,00000000
5,38400000	0,17054876	-0,04185593	0,00834129	0,00000000
5,38500000	-0,10237726	0,05244909	0,04618831	0,00000000
5,38600000	-0,32057405	-0,15127559	0,03535709	0,00000000
5,38700000	0,39630682	0,01072235	-0,03224467	0,00000000
5,38800000	0,03000506	0,06782211	-0,03647756	0,00000000
5,38900000	-0,07945340	0,06175041	0,07034069	0,00000000
5,39000000	-0,03696623	0,01782752	0,03398763	0,00000000
5,39100000	0,08965512	-0,06963069	-0,06785076	0,00000000
5,39200000	-0,13250234	-0,05296583	-0,03174668	0,00000000
5,39300000	-0,09013520	0,03578423	0,03249366	0,00000000
5,39400000	0,11017858	0,06407574	0,00634934	0,00000000
5,39500000	-0,09313570	-0,01408116	0,00087148	0,00000000
5,39600000	0,15890679	0,04159756	-0,03075071	0,00000000
5,39700000	0,01596269	-0,09611361	0,03348964	0,00000000
5,39800000	0,25084230	0,05193235	0,05739302	0,00000000
5,39900000	-0,44155445	-0,06239634	-0,01145371	0,00000000
5,40000000	-0,06721133	0,02854988	-0,05714403	0,00000000
5,40100000	0,28060731	0,08086979	0,01830103	0,00000000
5,40200000	0,00336057	0,03643016	0,01742955	0,00000000
5,40300000	-0,14870507	-0,06756374	-0,00597585	0,00000000
